Agent,Model,Organization,Source,Easy,Medium,Hard,Average SR,Date,Verified,Note,Release Time
Operator,OpenAI Computer-Using Agent,OpenAI,[OSU NLP](https://arxiv.org/abs/2504.01382),73.5,59.4,39.2,58.3,2025-5-11,True,,2025-01
SeeAct,gpt-4o-2024-08-06,OSU,[OSU NLP](https://arxiv.org/abs/2504.01382),51.8,28,9.5,30,2025-5-11,True,,2024-01
Browser Use,gpt-4o-2024-08-06,Browser Use,[OSU NLP](https://arxiv.org/abs/2504.01382),44.6,23.1,10.8,26,2025-5-11,True,,2025-01
Claude Computer Use 3.5,Claude-3-5-sonnet-20241022,Anthropic,[OSU NLP](https://arxiv.org/abs/2504.01382),51.8,16.1,8.1,24,2025-5-11,True,,2024-10
Agent-E,gpt-4o-2024-08-06,Emergence AI,[OSU NLP](https://arxiv.org/abs/2504.01382),51.8,23.1,6.8,27,2025-5-11,True,,2024-07
Claude Computer Use 3.7 (w/o thinking),Claude-3-7-sonnet-20250219,Anthropic,[OSU NLP](https://arxiv.org/abs/2504.01382),75.9,41.3,27,47.3,2025-5-11,True,,2025-02
ACT-1-20250703,o3-2025-04-16 and Claude-sonnet-4-20250514,Enhans,[Enhans](https://www.enhans.ai/),53.7,39.2,24.3,39.5,2025-7-16,True,,2025-07
ACT-1-20250814,o3-2025-04-16 and Claude-sonnet-4-20250514,Enhans,[Enhans](https://www.enhans.ai/),71.1,52.4,32.4,52.7,2025-8-23,True,,2025-08
Eko-V2,Unknown,Fellou,[Fellou](https://fellou.ai/blog/post/eko20-launch/),95.0,76.0,70.0,78.0,2025-5-24,False,Unknown evaluation method,2025-05
Eko-V1,Unknown,Fellou,[Fellou](https://fellou.ai/blog/post/eko20-launch/),-,-,-,31.0,2025-5-24,False,Unknown evaluation method,2025-05
Seed1.5-VL,Seed1.5-VL,ByteDance,[ByteDance](https://arxiv.org/pdf/2505.07062),-,-,-,76.4,2025-5-11,False,Evaluated by WebJudge(GPT-4o),2025-05
Google Computer Use (09-2025),Gemini 2.5 Computer Use,Google DeepMind,[Google DeepMind](https://blog.google/technology/google-deepmind/gemini-computer-use-model/),77.1,55.2,45.9,57.3,2025-09-29,True,,2025-09
[Navigator](https://yutori.com/blog/introducing-navigator),n1-preview-11-2025,[Yutori](https://yutori.com/),[Yutori](https://yutori.com/),84.0,62.2,48.7,64.7,2025-11-18,True,,2025-11
[MolmoWeb](https://allenai.org/blog/molmoweb),MolmoWeb-8B,[Allen AI](https://allenai.org/),[Allen AI](https://allenai.org/blog/molmoweb),59.0,36.4,10.8,36.3,2026-03-24,True,,2026-03
[GPT‑5.4](https://openai.com/index/introducing-gpt-5-4/),GPT‑5.4,[OpenAI](https://openai.com/),[OpenAI](https://openai.com/index/introducing-gpt-5-4/),-,-,-,92.8,2026-03-05,False,,2026-03
[ChatGPT Atlas](https://openai.com/index/introducing-gpt-5-4/),ChatGPT Atlas,[OpenAI](https://openai.com/),[OpenAI](https://openai.com/index/introducing-gpt-5-4/),-,-,-,70.9,2026-03-05,False,,2026-03
[Webwright](https://www.microsoft.com/en-us/research/articles/webwright-a-terminal-is-all-you-need-for-web-agents/),GPT‑5.4,[Microsoft](https://www.microsoft.com/en-us/research/articles/webwright-a-terminal-is-all-you-need-for-web-agents/),[Microsoft](https://www.microsoft.com/en-us/research/articles/webwright-a-terminal-is-all-you-need-for-web-agents/),93.8,88.1,76.6,86.7,2026-05-04,True,,2026-05
[Navigator](https://yutori.com/blog/introducing-n1-5),n1.5-latest,[Yutori](https://yutori.com),[Careerflow.ai](https://www.careerflow.ai/),97.5,84.4,84.4,87.9,2026-06-28,True,Include a concise final response in the judge; verified for factual consistency and without hallucinations.,2026-06
[Hark](https://hark.com/),Hark Handoff,[Hark](https://hark.com/),[Careerflow.ai](https://www.careerflow.ai/human-data),98.8,94.3,93.7,95.3,2026-08-04,True,Include a concise final response in the judge; verified for factual consistency and without hallucinations.,2026-08
[ACT-2](https://www.enhans.ai/act-2),GPT-5.4,[Enhans](https://www.enhans.ai/),[Careerflow.ai](https://www.careerflow.ai/human-data),95.0,91.5,91.1,92.3,2026-08-04,True,,2026-08
