Agent,Model,Organization,Source,Easy,Medium,Hard,Average SR,Date
Operator,OpenAI Computer-Using Agent,OpenAI,OSU NLP,83.1,58.0,43.2,61.3,2025-3-22
SeeAct,gpt-4o-2024-08-06,OSU,OSU NLP,60.2,25.2,8.1,30.7,2025-3-22
Browser Use,gpt-4o-2024-08-06,Browser Use,OSU NLP,55.4,26.6,8.1,30.0,2025-3-22
Claude Computer Use 3.5,claude-3-5-sonnet-20241022,Anthropic,OSU NLP,56.6,20.3,14.9,29.0,2025-3-22
Agent-E,gpt-4o-2024-08-06,Emergence AI,OSU NLP,49.4,26.6,6.8,28.0,2025-3-22
Claude Computer Use 3.7 (w/o thinking),Claude-3-7-sonnet-20250219,Anthropic,OSU NLP,90.4,49.0,32.4,56.3,2025-4-20
ACT-1-20250703,o3-2025-04-16 and Claude-sonnet-4-20250514,Enhans,Enhans,65.1,46.2,23.0,45.7,2025-7-16
ACT-1-20250814,o3-2025-04-16 and Claude-sonnet-4-20250514,Enhans,Enhans,81.9,54.5,35.1,57.3,2025-8-23
Google Computer Use (09-2025),Gemini 2.5 Computer Use,Google DeepMind,Google DeepMind,77.1,71.3,55.4,69.0,2025-9-29
[Navigator](https://yutori.com/blog/introducing-navigator),n1-preview-11-2025,[Yutori](https://yutori.com),[Halluminate](https://halluminate.ai/),90.1,76.2,71.1,78.7,2025-11-18
[Navigator](https://yutori.com/blog/introducing-n1-5),n1.5-latest,[Yutori](https://yutori.com),[Careerflow.ai](https://www.careerflow.ai/human-data),100.0,96.5,96.1,97.3,2026-06-28
[Hark](https://hark.com/),Hark Handoff,[Hark](https://hark.com/),[Careerflow.ai](https://www.careerflow.ai/human-data),100.0,95.0,100.0,97.7,2026-08-04
[ACT-2](https://www.enhans.ai/act-2),GPT-5.4,[Enhans](https://www.enhans.ai/),[Careerflow.ai](https://www.careerflow.ai/human-data),93.0,94.3,89.9,92.7,2026-08-04
