# source: https://andonlabs.com/_app/immutable/nodes/25.CJLlmIs9.js (template literal "ct")
# columns: model, net worth (mean), net worth (min), units sold (mean), units sold (min), days until sales stop (mean), days until sales stop (% of run), isNewModel
Claude 3.5 Sonnet	$2,217.93	$476.00	1560	0	102	82.2%	false
Claude Opus 4	$2,077.41	$1,249.56	1412	1218	132	99.5%	false
GPT-5	$3,578.90	$2,690.29	2471	1798	363	100.0%	false
Qwen3-235B-A22B	$615.52	$452.52	385	0	120	73.2%	false
GPT-5-mini	$580.77	$422.40	277	72	96	92.8%	false
o3	$1,843.11	$569.00	1363	331	112	86.9%	false
Grok 4	$4,694.15	$3,333.28	4569	3515	324	99.5%	false
Claude Sonnet 4	$968.31	$444.00	538	0	80	80.6%	false
Gemini 2.5 Pro (preview-03-25)	$789.34	$691.68	356	313	68	89.0%	false
Claude 3.7 Sonnet	$1,567.90	$276.00	1050	0	112	80.3%	false
o3-mini	$906.86	$369.05	831	0	86	80.3%	false
Gemini 1.5 Pro	$594.02	$439.20	375	0	35	43.8%	false
Human	$844.05	$844.05	344	344	67	100.0%	false
Gemini 1.5 Flash	$571.85	$476.00	89	0	15	42.4%	false
Claude 3.5 Haiku	$373.36	$264.00	23	0	8	12.9%	false
Gemini 2.0 Flash	$338.08	$157.25	104	0	50	55.7%	false
GPT-4o	$335.46	$265.65	258	108	65	50.3%	false
GPT-4o mini	$582.33	$420.50	473	65	71	73.2%	false
gpt-oss-120b	$607.97	$278.80	698	338	187	92.7%	false
Gemini 2.0 Pro	$273.70	$273.70	118	118	25	15.8%	false
Llama 4 Maverick	$157.33	-$24.00	0	0	1	1.2%	false
Claude Sonnet 4.5	$2,465.02	$1,095.25	3099.4	1907	350	77.8%	false
Gemini Robotics-ER 1.5	$975.68	$337.20	536.8	75	165	91.1%	false
Kimi K2 Thinking (3rd party API)	$648.93	$418.54	270.4	0	46	59.8%	true
Kimi K2 Thinking (Moonshot API)	$1,295.80	$354.00	1105.6	0	190	75.4%	true
GPT-5.1	$2,379.88	$1,424.90	2104.8	1166	136	100%	true
Gemini 3 Pro	$4,387.93	$3,769.70	4199.6	3165	239	94.6%	true
