LLM,Retriever,Submitted By,Scaffold,Accuracy (%),Recall (%),Search Calls,Calibration Error (%),Model Size (B),Open Weights?,LLM Link,Retriever Link,Evaluation Date,Submittor Link,Accuracy (GPT-4.1 Judge)
GPT-4.1,BM25,BrowseComp-Plus,,15.30,16.42,10.35,68.52,-,No,https://openai.com/index/gpt-4-1/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,14.58
GPT-4.1,Qwen3-Embed-8B,BrowseComp-Plus,,36.39,36.89,8.67,53.79,-,No,https://openai.com/index/gpt-4-1/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,35.42
o3,BM25,BrowseComp-Plus,,50.48,56.64,25.93,14.48,-,No,https://openai.com/index/introducing-o3-and-o4-mini/,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,49.28
o3,Qwen3-Embed-8B,BrowseComp-Plus,,65.90,73.24,23.97,19.68,-,No,https://openai.com/index/introducing-o3-and-o4-mini/,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,63.49
Sonnet 4,BM25,BrowseComp-Plus,,14.70,21.31,9.95,28.78,-,No,https://www.anthropic.com/news/claude-4,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,14.34
Sonnet 4,Qwen3-Embed-8B,BrowseComp-Plus,,37.35,47.33,9.03,24.84,-,No,https://www.anthropic.com/news/claude-4,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,36.75
Opus 4,BM25,BrowseComp-Plus,,15.54,22.96,11.22,22.30,-,No,https://www.anthropic.com/news/claude-4,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,15.54
Opus 4,Qwen3-Embed-8B,BrowseComp-Plus,,36.75,50.84,10.24,12.33,-,No,https://www.anthropic.com/news/claude-4,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,36.14
Gemini 2.5 Flash,BM25,BrowseComp-Plus,,16.27,21.45,10.56,28.51,-,No,https://arxiv.org/abs/2507.06261,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,15.54
Gemini 2.5 Flash,Qwen3-Embed-8B,BrowseComp-Plus,,34.58,40.19,9.77,20.42,-,No,https://arxiv.org/abs/2507.06261,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,33.01
Gemini 2.5 Pro,BM25,BrowseComp-Plus,,19.88,22.81,7.44,52.45,-,No,https://arxiv.org/abs/2507.06261,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,19.04
Gemini 2.5 Pro,Qwen3-Embed-8B,BrowseComp-Plus,,29.52,35.31,6.04,44.25,-,No,https://arxiv.org/abs/2507.06261,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,28.67
Qwen3-32B,BM25,BrowseComp-Plus,,3.61,3.12,0.92,58.17,32,Yes,https://arxiv.org/abs/2505.09388,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,3.49
Qwen3-32B,Qwen3-Embed-0.6B,BrowseComp-Plus,,4.22,3.45,0.91,61.20,32,Yes,https://arxiv.org/abs/2505.09388,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,4.10
Qwen3-32B,Qwen3-Embed-4B,BrowseComp-Plus,,8.07,6.20,0.89,61.17,32,Yes,https://arxiv.org/abs/2505.09388,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,7.83
Qwen3-32B,Qwen3-Embed-8B,BrowseComp-Plus,,10.72,7.80,0.94,58.88,32,Yes,https://arxiv.org/abs/2505.09388,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,10.36
Qwen3-32B,ReasonIR,BrowseComp-Plus,,9.28,7.59,0.91,56.08,32,Yes,https://arxiv.org/abs/2505.09388,https://arxiv.org/abs/2504.20595,"Aug 8, 2025",,9.16
SearchR1-32B,BM25,BrowseComp-Plus,,4.11,2.61,1.78,-,32,Yes,https://arxiv.org/abs/2505.15117,http://trec.nist.gov/pubs/trec3/papers/city.ps.gz,"Aug 8, 2025",,3.86
SearchR1-32B,Qwen3-Embed-0.6B,BrowseComp-Plus,,6.02,5.30,1.73,-,32,Yes,https://arxiv.org/abs/2505.15117,https://arxiv.org/abs/2506.05176,"Aug 8, 2025",,5.66
